match_source,match_external_id,team,minute,period
datahub-football-data,laliga-2023-2024-2023-08-11-almeria-vallecano,Vallecano,9,primera
datahub-football-data,laliga-2023-2024-2023-08-11-almeria-vallecano,Vallecano,20,primera
datahub-football-data,laliga-2023-2024-2023-08-11-sevilla-valencia,Sevilla,63,segunda
datahub-football-data,laliga-2023-2024-2023-08-11-sevilla-valencia,Valencia,74,segunda
datahub-football-data,laliga-2023-2024-2023-08-11-sevilla-valencia,Valencia,83,segunda
datahub-football-data,laliga-2023-2024-2023-08-12-ath-bilbao-real-madrid,Real Madrid,38,primera
datahub-football-data,laliga-2023-2024-2023-08-12-ath-bilbao-real-madrid,Real Madrid,54,segunda
datahub-football-data,laliga-2023-2024-2023-08-12-las-palmas-mallorca,Las Palmas,80,segunda
datahub-football-data,laliga-2023-2024-2023-08-12-las-palmas-mallorca,Mallorca,87,segunda
datahub-football-data,laliga-2023-2024-2023-08-12-sociedad-girona,Sociedad,64,segunda
datahub-football-data,laliga-2023-2024-2023-08-12-sociedad-girona,Girona,75,segunda
datahub-football-data,laliga-2023-2024-2023-08-13-celta-osasuna,Osasuna,10,primera
datahub-football-data,laliga-2023-2024-2023-08-13-celta-osasuna,Osasuna,89,segunda
datahub-football-data,laliga-2023-2024-2023-08-13-villarreal-betis,Villarreal,40,primera
datahub-football-data,laliga-2023-2024-2023-08-13-villarreal-betis,Betis,51,segunda
datahub-football-data,laliga-2023-2024-2023-08-13-villarreal-betis,Betis,63,segunda
datahub-football-data,laliga-2023-2024-2023-08-14-ath-madrid-granada,Ath Madrid,6,primera
datahub-football-data,laliga-2023-2024-2023-08-14-ath-madrid-granada,Ath Madrid,17,primera
datahub-football-data,laliga-2023-2024-2023-08-14-ath-madrid-granada,Ath Madrid,29,primera
datahub-football-data,laliga-2023-2024-2023-08-14-ath-madrid-granada,Granada,90,segunda
datahub-football-data,laliga-2023-2024-2023-08-14-cadiz-alaves,Cadiz,29,primera
datahub-football-data,laliga-2023-2024-2023-08-18-mallorca-villarreal,Villarreal,54,segunda
datahub-football-data,laliga-2023-2024-2023-08-18-valencia-las-palmas,Valencia,88,segunda
datahub-football-data,laliga-2023-2024-2023-08-19-almeria-real-madrid,Almeria,10,primera
